Date,Open,Price,High,Low,Vol(M),Change%,
Apr 18 / 2022,13910.76,13859.47,13997.92,13788.96,172.21,0.13,
Apr 19 / 2022,14210.26,13882.75,14236.51,13844.74,187.17,2.15,
Apr 20 / 2022,13998.53,14246.20,14263.61,13962.86,217.57,-1.49,
Apr 21 / 2022,13720.45,14174.92,14277.21,13682.68,231.64,-1.99,
Apr 22 / 2022,13356.87,13714.63,13769.40,13342.79,247.88,-2.65,
Apr 25 / 2022,13533.22,13275.41,13541.77,13239.73,247.87,1.32,
Apr 26 / 2022,13009.71,13447.66,13447.66,13009.65,263.14,-3.87,
Apr 27 / 2022,13003.36,13009.40,13241.94,12936.41,256.81,-0.05,
Apr 28 / 2022,13456.06,13254.96,13542.56,13038.17,282.58,3.48,
Apr 29 / 2022,12854.80,13274.94,13428.53,12835.48,319.45,-4.47,
May 02 / 2022,13075.85,12864.83,13083.57,12716.62,263.46,1.72,
May 03 / 2022,13089.90,13045.35,13178.74,12982.70,209.20,0.11,
May 04 / 2022,13535.71,13110.30,13556.67,12887.53,287.02,3.41,
May 05 / 2022,12850.55,13344.79,13344.79,12710.59,327.49,-5.06,
May 06 / 2022,12693.54,12774.21,12926.58,12523.07,275.07,-1.22,
May 09 / 2022,12187.72,12466.12,12540.12,12136.19,320.01,-3.98,
May 10 / 2022,12345.86,12496.18,12537.89,12173.58,303.08,1.30,
May 11 / 2022,11967.56,12241.96,12469.04,11939.16,300.24,-3.06,
May 12 / 2022,11945.50,11792.60,12126.44,11692.12,324.27,-0.18,
